,Data,ID,t_Atendimento_min,t_Projetos_min,t_Logado_min,Disp_%,Meta_Disp,Pontuação,Atraso
7737,2022-02-16,a1R3j0000043rzkEAA,450,0,433,40,Não Bateu,-16,Sim
7738,2022-02-16,a1R3j0000043rzlEAA,300,30,172,11,Não Bateu,-25,Não
7739,2022-02-16,a1R3j0000043rzmEAA,450,0,434,45,Não Bateu,-21,Sim
7740,2022-02-16,a1R3j0000043rzpEAA,120,0,0,33,-,0,-
7741,2022-02-16,a1R3j0000043s1fEAA,360,60,171,19,Não Bateu,-19,Não
7742,2022-02-16,a1R3j0000043s1iEAA,0,0,0,33,-,0,-
7743,2022-02-16,a1R3j0000043s1kEAA,420,0,404,39,Não Bateu,-20,Não
7744,2022-02-16,a1R3j0000043s1mEAA,420,0,206,24,Não Bateu,-20,Não
7745,2022-02-16,a1R3j0000043s1nEAA,420,0,84,15,Não Bateu,-20,Não
7746,2022-02-16,a1R3j0000043s1qEAA,420,0,371,39,Não Bateu,-20,Não
7747,2022-02-16,a1R3j0000043sVVEAY,0,0,0,33,-,0,-
7748,2022-02-16,a1R3j0000043sVWEAY,390,0,368,35,Não Bateu,-18,Sim
7749,2022-02-16,a1R3j0000043sVYEAY,450,0,356,45,Não Bateu,-20,Sim
7750,2022-02-16,a1R3j0000043sVZEAY,450,0,411,38,Não Bateu,-15,Sim
7751,2022-02-16,a1R3j0000043sVdEAI,390,0,362,29,Não Bateu,-24,Sim
7752,2022-02-16,a1R3j0000043sVfEAI,450,0,399,33,Não Bateu,-22,Sim
7753,2022-02-16,a1R3j0000043sVkEAI,420,0,340,30,Não Bateu,-21,Sim
7754,2022-02-16,a1R3j0000043sVnEAI,450,0,425,46,Não Bateu,-17,Sim
7755,2022-02-16,a1R3j0000043sVqEAI,420,0,375,38,Não Bateu,-19,Sim
7756,2022-02-16,a1R3j0000043sVrEAI,0,0,0,33,-,0,-
7757,2022-02-16,a1R3j0000043sVwEAI,210,60,185,14,Não Bateu,-20,Não
7758,2022-02-16,a1R3j0000043sVzEAI,390,0,289,29,Não Bateu,-17,Não
7759,2022-02-16,a1R3j0000043sW1EAI,390,0,346,17,Não Bateu,-20,Não
7760,2022-02-16,a1R3j0000043sW2EAI,450,0,426,20,Não Bateu,-23,Sim
7761,2022-02-16,a1R3j0000043sW4EAI,450,0,389,34,Não Bateu,-19,Sim
7762,2022-02-16,a1R3j0000043sW5EAI,450,0,379,48,Não Bateu,-21,Sim
7763,2022-02-16,a1R3j0000043sWBEAY,450,0,404,36,Não Bateu,-21,Sim
7764,2022-02-16,a1R3j0000043sWCEAY,480,0,443,44,Não Bateu,-21,Não
7765,2022-02-16,a1R3j0000043sWEEAY,360,90,324,29,Não Bateu,-17,Não
7766,2022-02-16,a1R3j0000043sWFEAY,450,0,420,40,Não Bateu,-17,Sim
7767,2022-02-16,a1R3j0000043sWIEAY,270,120,241,32,Não Bateu,-18,Sim
7768,2022-02-16,a1R3j0000043sWLEAY,420,0,386,37,Não Bateu,-14,Sim
7769,2022-02-16,a1R3j0000043sWMEAY,450,0,398,37,Não Bateu,-19,Sim
7770,2022-02-16,a1R3j0000043sWOEAY,0,0,0,33,-,0,-
7771,2022-02-16,a1R3j0000043sWVEAY,450,0,410,18,Não Bateu,-26,Sim
7772,2022-02-16,a1R3j0000043sWXEAY,450,0,426,25,Não Bateu,-25,Sim
7773,2022-02-16,a1R3j0000043sWbEAI,270,0,247,30,Não Bateu,-20,Sim
7774,2022-02-16,a1R3j0000043sWcEAI,450,0,398,34,Não Bateu,-19,Sim
7775,2022-02-16,a1R3j0000043sWdEAI,360,90,332,17,Não Bateu,-16,Não
7776,2022-02-16,a1R3j0000043sWgEAI,450,0,416,36,Não Bateu,-19,Sim
7777,2022-02-16,a1R3j0000043sWhEAI,390,0,372,30,Não Bateu,-22,Sim
7778,2022-02-16,a1R3j0000043sWiEAI,390,60,437,38,Não Bateu,-18,Sim
7779,2022-02-16,a1R3j0000043sx5EAA,420,0,366,33,Não Bateu,-19,Sim
7780,2022-02-16,a1R3j0000043sx8EAA,0,0,0,33,-,0,-
7781,2022-02-16,a1R3j0000043sxAEAQ,420,0,296,37,Não Bateu,-19,Não
7782,2022-02-16,a1R3j0000043sxBEAQ,420,0,0,0,Não Bateu,-20,Não
7783,2022-02-16,a1R3j0000043sxDEAQ,360,60,256,28,Não Bateu,-21,Não
7784,2022-02-16,a1R3j0000043sxEEAQ,420,0,362,38,Não Bateu,-20,Não
7785,2022-02-16,a1R3j0000043syoEAA,450,0,531,38,Não Bateu,-19,Sim
7786,2022-02-16,a1R3j0000043sz2EAA,450,0,410,37,Não Bateu,-16,Sim
7787,2022-02-16,a1R3j0000043sz4EAA,450,0,438,40,Não Bateu,-16,Sim
7788,2022-02-16,a1R3j0000043sz6EAA,450,0,422,38,Não Bateu,-18,Sim
7789,2022-02-16,a1R3j0000043szBEAQ,390,0,349,28,Não Bateu,-17,Sim
7790,2022-02-16,a1R3j0000043szDEAQ,450,0,438,46,Não Bateu,-20,Sim
7791,2022-02-16,a1R3j0000043szKEAQ,450,0,419,19,Não Bateu,-24,Sim
7792,2022-02-16,a1R3j0000043szNEAQ,450,0,419,45,Não Bateu,-15,Sim
7793,2022-02-16,a1R3j0000043szPEAQ,450,0,432,39,Não Bateu,-18,Sim
7794,2022-02-16,a1R3j0000043szQEAQ,450,0,435,38,Não Bateu,-20,Sim
7795,2022-02-16,a1R3j0000043szREAQ,390,0,334,28,Não Bateu,-17,Sim
7796,2022-02-16,a1R3j0000043szaEAA,450,0,410,35,Não Bateu,-19,Sim
7797,2022-02-16,a1R3j0000043szdEAA,390,60,430,37,Não Bateu,-18,Sim
7798,2022-02-16,a1R3j0000043szgEAA,420,0,383,38,Não Bateu,-19,Sim
7799,2022-02-16,a1R3j0000043sziEAA,360,0,337,30,Não Bateu,-21,Não
7800,2022-02-16,a1R3j0000043szjEAA,390,0,378,30,Não Bateu,-19,Sim
7801,2022-02-16,a1R3j0000043szkEAA,450,0,494,42,Não Bateu,-15,Sim
7802,2022-02-16,a1R3j0000043szlEAA,450,0,417,36,Não Bateu,-18,Sim
7803,2022-02-16,a1R3j0000043sznEAA,450,0,414,51,Não Bateu,-10,Sim
7804,2022-02-16,a1R3j0000043szoEAA,450,0,426,38,Não Bateu,-20,Não
7805,2022-02-16,a1R3j0000043szpEAA,450,0,437,40,Não Bateu,-19,Sim
7806,2022-02-16,a1R41000002LqutEAC,420,0,53,12,Não Bateu,-16,Sim
7807,2022-02-16,a1R410000049DfKEAU,450,0,419,36,Não Bateu,-19,Sim
7808,2022-02-16,a1R41000004AuxMEAS,360,0,310,20,Não Bateu,-19,Não
7809,2022-02-16,a1R41000004B2uiEAC,480,0,354,50,Não Bateu,-11,Sim
7810,2022-02-16,a1R41000004BNEkEAO,450,0,399,36,Não Bateu,-19,Sim
7811,2022-02-16,a1R41000004BOoWEAW,390,60,0,33,-,0,-
7812,2022-02-16,a1R41000004BOobEAG,420,0,357,35,Não Bateu,-22,Sim
7813,2022-02-16,a1R41000004BOoqEAG,420,0,373,45,Não Bateu,-14,Sim
7814,2022-02-16,a1R41000005iwtKEAQ,390,0,342,47,Não Bateu,-13,Sim
7815,2022-02-17,a1R1L000007It5aUAC,480,0,432,57,Não Bateu,-14,Sim
7816,2022-02-17,a1R1L000007IvtrUAC,300,0,310,36,Não Bateu,-20,Sim
7817,2022-02-17,a1R1L000007POQyUAO,450,0,386,27,Não Bateu,-3,Não
7818,2022-02-17,a1R1L000007PP7hUAG,480,0,430,45,Não Bateu,-19,Sim
7819,2022-02-17,a1R1L000007YXRAUA4,420,60,386,40,Não Bateu,-19,Sim
7820,2022-02-17,a1R1L000007YXRBUA4,0,0,50,33,-,0,-
7821,2022-02-17,a1R1L000007YXREUA4,450,0,396,21,Não Bateu,-18,Sim
7822,2022-02-17,a1R1L000008cZzKUAU,480,0,457,35,Não Bateu,-18,Sim
7823,2022-02-17,a1R1L000008cZzMUAU,300,0,284,20,Não Bateu,-13,Não
7824,2022-02-17,a1R1L000008cZzNUAU,420,0,348,25,Não Bateu,-11,Sim
7825,2022-02-17,a1R1L000008cZzOUAU,450,0,408,36,Não Bateu,-16,Sim
7826,2022-02-17,a1R1L000008cZzUUAU,480,0,418,44,Não Bateu,-22,Sim
7827,2022-02-17,a1R1L000008dS6CUAU,420,0,383,35,Não Bateu,-15,Sim
7828,2022-02-17,a1R1L000008dS6SUAU,480,0,417,54,Não Bateu,-8,Sim
7829,2022-02-17,a1R1L000008dS6VUAU,480,0,448,46,Não Bateu,-18,Sim
7830,2022-02-17,a1R1L000008dajzUAA,480,0,439,44,Não Bateu,-19,Sim
7831,2022-02-17,a1R1L000008db60UAA,450,0,414,38,Não Bateu,-20,Sim
7832,2022-02-17,a1R1L000008ddqrUAA,270,0,364,42,Não Bateu,-19,Não
7833,2022-02-17,a1R1L000008ddr1UAA,0,480,0,33,-,0,-
